Date,D2-B,D2-D,D6-D,D6-E,D6-I,D6-J,D6-S,D6-AB,D7-B,Label_D6-E,Label_D6-S,Label_D6-AB
"6月 04, 2010",1,0,0,0,0,0,1,1,0,1,0,1
"6月 11, 2010",0,0,1,1,0,1,0,1,1,1,0,1
"6月 18, 2010",1,0,1,1,0,1,0,1,0,0,1,1
"6月 25, 2010",0,0,0,0,1,0,1,1,0,0,1,1
"7月 02, 2010",1,1,0,0,1,0,1,1,0,0,0,1
"7月 09, 2010",1,0,0,0,1,1,0,1,0,1,1,1
"7月 16, 2010",1,0,1,1,1,0,1,1,0,1,1,1
"7月 23, 2010",0,0,1,1,1,0,1,1,1,0,1,1
"7月 30, 2010",1,1,0,0,1,0,1,1,0,0,1,1
"8月 06, 2010",0,0,0,0,1,0,1,1,0,0,1,1
"8月 13, 2010",1,0,0,0,0,0,1,1,1,1,1,1
"8月 20, 2010",0,0,1,1,1,1,1,1,1,1,1,0
"8月 27, 2010",0,0,1,1,0,0,1,0,1,0,0,0
"9月 03, 2010",1,0,0,0,0,1,0,0,0,0,0,0
"9月 10, 2010",1,0,0,0,0,0,0,0,0,1,1,1
"9月 17, 2010",1,0,1,1,1,1,1,1,0,0,0,0
"9月 24, 2010",0,0,0,0,0,0,0,0,0,1,0,0
"10月 01, 2010",0,1,1,1,0,0,0,0,1,0,0,0
"10月 08, 2010",0,0,0,0,0,0,0,0,1,1,1,0
"10月 15, 2010",1,0,1,1,1,1,1,0,1,1,0,0
"10月 22, 2010",1,0,1,1,0,0,0,0,1,1,0,0
"10月 29, 2010",0,0,1,1,0,0,0,0,1,0,0,0
"11月 05, 2010",1,0,0,0,0,0,0,0,0,0,0,0
"11月 12, 2010",1,0,0,0,0,0,0,0,0,1,1,0
"11月 19, 2010",1,0,1,1,1,1,1,0,0,1,1,0
"11月 26, 2010",0,0,1,1,1,0,1,0,0,0,1,1
"12月 03, 2010",1,0,0,0,1,1,1,1,0,0,1,1
"12月 10, 2010",1,0,0,0,1,0,1,1,0,0,1,0
"12月 17, 2010",0,0,0,0,1,1,1,0,0,0,0,1
