Date,D2-B,D2-D,D6-D,D6-E,D6-I,D6-J,D6-S,D6-AB,D7-B,Label_D6-E,Label_D6-S,Label_D6-AB
"8月 20, 1982",0,0,0,0,0,0,0,0,0,0,0,0
"8月 27, 1982",196,0,-478,-2626,0,0,0,5174,0,0,0,1
"9月 24, 1982",457,0,3678,-552,0,0,0,4095,28.9,0,0,0
"10月 01, 1982",-72,0,0,-800,0,0,0,-4223,-1.2,1,0,1
"10月 08, 1982",-241,0,1566,474,0,0,0,3781,-0.1,0,0,1
"10月 15, 1982",67,0,-6204,-8281,0,0,0,3336,-0.8,1,0,1
"10月 22, 1982",-518,0,9982,7391,0,0,0,1356,1,0,0,1
"10月 29, 1982",154,0,-428,-1303,0,0,0,681,0.2,0,0,1
"11月 05, 1982",-14,0,-1372,-2010,0,0,0,4173,0,0,0,1
"11月 12, 1982",26,0,-6317,-7609,0,0,0,3688,-0.4,1,0,1
"11月 19, 1982",201,0,7953,7816,0,0,0,4932,0.4,0,0,1
"11月 26, 1982",-620,0,-3804,-5625,0,0,0,812,-0.2,1,0,1
"12月 03, 1982",834,0,8615,6808,0,0,0,6519,0.3,1,0,1
"12月 10, 1982",-656,0,7042,5496,0,0,0,2273,0.6,1,0,0
"12月 17, 1982",-74,0,1178,969,0,0,0,-5512,0.4,0,0,1
"12月 24, 1982",-226,0,-3081,-3851,0,0,0,1691,-0.2,0,0,0
"12月 31, 1982",1526,0,-4185,-4911,0,0,0,-871,-0.8,0,1,0
"1月 07, 1983",-1027,0,-1845,-3449,0,0,39506,-3544,-0.4,1,1,0
"1月 14, 1983",-254,0,12949,12327,0,0,281,-2720,1,0,1,0
"1月 21, 1983",-318,0,-3606,-4850,0,0,220,-4382,-0.3,1,1,0
"1月 28, 1983",-68,0,7134,5439,0,0,926,-1339,1.5,0,1,0
"2月 04, 1983",-270,0,-4552,-7090,0,0,1305,-5195,-0.1,1,1,0
"2月 11, 1983",82,0,7235,6192,0,0,1083,-7289,1,1,0,0
"2月 18, 1983",-4,0,5107,3321,0,0,-7,-5089,0.5,1,1,0
"2月 25, 1983",-4,0,9014,7412,0,0,92,-4093,0.8,0,0,0
"3月 04, 1983",-185,0,-8620,-10236,0,0,-796,-4437,-0.9,1,0,0
"3月 11, 1983",66,0,4090,2537,0,0,-254,-2904,0.4,0,0,0
"3月 18, 1983",143,0,-4613,-5852,0,0,-746,-5942,-0.6,1,0,0
"3月 25, 1983",322,0,1818,1254,0,0,-557,-3695,-0.1,0,0,0
"4月 01, 1983",-318,0,-4419,-5940,0,0,-1058,-9975,-0.7,1,0,0
"4月 08, 1983",484,0,5790,4048,0,0,-837,-7342,-0.1,1,1,0
"4月 15, 1983",-27,0,6510,5276,0,0,116,-5369,0.2,1,0,0
"4月 29, 1983",436,0,4807,2168,0,0,-2179,-4414,-0.2,0,0,1
"5月 13, 1983",-184,0,3289,-4,0,0,-1257,1762,-0.5,1,0,1
"5月 20, 1983",125,0,6209,2842,0,0,-174,307,0.1,0,0,1
"6月 03, 1983",551,0,-8222,-10938,0,0,-484,866,-1.5,0,0,1
"6月 10, 1983",-231,0,-630,-1200,0,0,-847,4361,-0.3,0,1,0
"6月 17, 1983",285,0,-125,-694,0,0,2059,-398,-0.5,0,1,0
"6月 24, 1983",60,0,1006,-1102,0,0,35,-305,-0.4,1,1,1
"7月 01, 1983",-86,0,3833,1776,0,0,1871,1793,0.1,0,0,1
"7月 08, 1983",42,0,-4086,-6611,0,0,-1094,6515,-0.7,0,0,1
"7月 15, 1983",113,0,-1375,-2511,0,0,-676,3796,-0.3,0,1,1
"7月 22, 1983",152,0,1482,-622,0,0,1275,2725,-0.1,1,1,1
"7月 29, 1983",25,0,4685,2624,0,0,236,4230,0,0,1,1
"8月 05, 1983",-278,0,-1808,-3625,0,0,384,2157,-0.3,0,1,1
"8月 12, 1983",-78,0,-5628,-7781,0,0,1052,2869,-0.5,1,0,1
"8月 19, 1983",293,0,7775,6018,0,0,-366,3289,0.5,1,1,1
"8月 26, 1983",-774,0,7478,4136,0,0,78,979,0.7,1,0,1
"9月 02, 1983",482,0,6632,3880,0,0,-293,4229,0.4,0,0,1
"9月 09, 1983",581,0,-969,-2525,0,0,-36,3908,-0.5,1,0,1
"9月 16, 1983",43,0,4078,1722,0,0,-1011,3775,0,1,0,1
"9月 23, 1983",-494,0,2705,111,0,0,-188,3389,-0.4,1,0,0
"9月 30, 1983",-126,0,2992,825,0,0,-361,-311,0.1,1,0,1
"10月 07, 1983",-222,0,3515,2695,0,0,-460,3481,0.6,1,1,1
"10月 14, 1983",-301,0,6226,2569,0,0,93,714,0.9,0,1,1
"10月 21, 1983",-97,0,-2332,-2611,0,0,364,3890,0.2,0,0,1
"10月 28, 1983",-20,0,-6542,-7471,0,0,-224,2014,-0.3,1,1,0
"11月 04, 1983",-111,0,13810,11627,0,0,296,-3592,1.3,1,0,1
"11月 11, 1983",276,0,4746,3504,0,0,-555,2076,0.3,0,1,0
"11月 18, 1983",300,0,-3888,-4482,0,0,183,-1377,-0.6,0,0,0
"11月 25, 1983",-757,0,-3685,-4155,0,0,-865,-186,-0.2,0,1,1
"12月 02, 1983",1241,0,-3779,-4440,0,0,1671,1454,-1,1,0,0
"12月 09, 1983",-911,0,9155,5928,0,0,-1654,-2177,0.5,0,1,0
"12月 16, 1983",17,0,-794,-1281,0,0,215,-2803,0.2,0,1,1
"12月 23, 1983",-241,0,-2263,-4442,0,0,555,415,-0.5,1,0,0
"12月 30, 1983",-801,0,1684,559,0,0,-528,-13011,1.3,1,1,0
"1月 06, 1984",-55,0,3397,1042,0,0,59,-5867,0.7,1,0,0
"1月 13, 1984",923,0,5670,3734,0,0,-497,-6133,0.5,0,1,0
"1月 20, 1984",239,0,-2797,-3993,0,0,2111,-8014,-0.6,0,0,0
"1月 27, 1984",73,0,-2851,-3510,0,0,-701,-5441,-1,0,1,0
"2月 03, 1984",292,0,-3144,-3459,0,0,965,-2244,-1.2,0,0,1
"2月 10, 1984",-137,0,-103,-805,0,0,-331,979,-0.4,1,1,1
"2月 17, 1984",58,0,2865,2060,0,0,1798,8190,0.1,0,0,1
"2月 24, 1984",181,0,-3440,-4098,0,0,-369,6972,-0.6,0,0,0
"3月 02, 1984",-214,0,46,-253,0,0,-449,-2960,0,0,0,0
"3月 09, 1984",195,0,-4289,-4614,0,0,-47,-1916,-0.5,0,1,0
"3月 16, 1984",94,0,491,-687,0,0,685,-6972,-0.1,0,1,0
"3月 23, 1984",-723,0,-2845,-3373,0,0,717,-5565,0,1,0,0
"3月 30, 1984",231,0,3967,1434,0,0,-556,-2874,0.2,1,1,0
"4月 06, 1984",-358,0,11884,10183,0,0,1235,-7634,1.3,1,0,0
"4月 13, 1984",324,0,3398,3398,0,0,-753,-3559,0.6,0,0,0
"4月 20, 1984",62,0,1249,-582,0,0,-349,-2604,-0.2,0,0,1
"4月 27, 1984",585,0,-3154,-3781,0,0,-197,437,-0.7,1,0,0
"5月 04, 1984",-823,0,8157,6909,0,0,-162,-549,0.5,1,1,0
"5月 11, 1984",349,0,6912,5663,0,0,749,-1535,0.4,1,0,0
"5月 18, 1984",277,0,9260,8214,0,0,-2216,-1442,0.5,0,1,0
"5月 25, 1984",297,0,-6703,-8045,0,0,1302,-1440,-0.8,1,1,1
"6月 01, 1984",278,0,9177,7194,0,0,2042,5013,0,1,1,1
"6月 08, 1984",-428,0,4899,2530,0,0,424,3686,-0.1,0,1,1
"6月 15, 1984",-76,0,-784,-3955,0,0,64,1704,-0.3,0,0,1
"6月 22, 1984",263,0,-6155,-6520,0,0,-471,7099,-0.6,1,1,1
"6月 29, 1984",-331,0,8165,4285,0,0,467,1521,0.7,0,0,1
"7月 06, 1984",-135,0,-4501,-5621,0,0,-883,2256,-0.3,1,0,1
"7月 13, 1984",131,0,6073,2771,0,0,-1274,3652,0.2,1,0,1
"7月 20, 1984",-28,0,8494,6681,0,0,-910,3232,0.8,0,0,1
"7月 27, 1984",-5,0,-6974,-8223,0,0,-492,1090,-0.7,1,0,1
"8月 03, 1984",-99,0,4596,791,0,0,-749,2550,0.1,1,1,1
"8月 10, 1984",315,0,3367,1156,0,0,58,2664,0,0,0,1
"8月 17, 1984",-20,0,-8720,-10210,0,0,-482,3455,-0.9,1,0,1
"8月 24, 1984",86,0,3428,2748,0,0,-533,1399,0,0,1,1
"8月 31, 1984",122,0,-3308,-4495,0,0,860,2463,-0.6,0,1,1
"9月 07, 1984",-171,0,-2291,-2925,0,0,648,4537,-0.2,0,1,0
"9月 14, 1984",177,0,-665,-665,0,0,574,-970,-0.2,0,1,1
"9月 21, 1984",-155,0,-10744,-11050,0,0,122,1422,-0.9,1,0,1
"9月 28, 1984",-40,0,2128,1469,0,0,-3,912,0.3,1,0,1
"10月 05, 1984",-314,0,3805,2785,0,0,-1014,1252,0.3,1,0,1
"10月 12, 1984",56,0,8393,7399,0,0,-79,5107,0.9,0,0,1
"10月 19, 1984",-24,0,-3021,-3337,0,0,-135,4676,-0.1,1,0,1
"10月 26, 1984",-61,0,6126,5627,0,0,-703,2667,0.6,0,1,0
"11月 02, 1984",399,0,-3780,-5978,0,0,1325,-712,-0.7,1,1,1
"11月 09, 1984",-309,0,12831,10193,0,0,77,2572,0.9,1,0,0
"11月 16, 1984",-105,0,9583,9086,0,0,-140,-368,0.7,0,1,1
"11月 23, 1984",191,0,483,-1562,0,0,928,2284,-0.2,0,1,1
"11月 30, 1984",108,0,-5258,-7031,0,0,1594,2229,-0.5,0,0,0
"12月 07, 1984",-381,0,-2288,-3316,0,0,-334,-3528,-0.2,1,0,0
"12月 14, 1984",38,0,11511,9491,0,0,-965,-2845,0.8,0,0,1
"12月 21, 1984",11,0,-9781,-11246,0,0,-439,307,-0.8,1,0,1
"12月 28, 1984",-303,0,3342,1744,0,0,-239,3919,0.5,0,0,1
"1月 04, 1985",-105,0,-1010,-2358,0,0,-1605,3342,0,1,0,0
"1月 11, 1985",-147,0,4530,4184,0,0,-1044,-130,0.7,1,0,0
"1月 18, 1985",99,0,5350,2401,0,0,-979,-7565,0.5,0,1,0
"1月 25, 1985",-37,0,-8225,-8590,0,0,637,-9457,-0.6,0,0,0
"2月 01, 1985",-9,0,-5391,-8458,0,0,-175,-2339,-0.7,0,1,0
"2月 08, 1985",30,0,-2948,-3471,0,0,235,-4164,-0.4,0,1,0
"2月 15, 1985",-117,0,-7562,-7913,0,0,756,-5612,-0.6,0,1,0
"2月 22, 1985",11,0,-1501,-2148,0,0,389,-7209,-0.1,1,0,0
"3月 01, 1985",-125,0,3595,2829,0,0,-1048,-2696,0.3,1,0,0
"3月 08, 1985",28,0,5060,4441,0,0,-415,-6108,0.5,1,1,0
"3月 15, 1985",33,0,4406,4146,0,0,458,-7571,0.4,1,0,0
"3月 22, 1985",-2,0,3686,3079,0,0,-932,-6171,0.4,1,1,0
"3月 29, 1985",112,0,2987,2726,0,0,53,-5280,0.1,0,0,0
"4月 05, 1985",-93,0,-10798,-11149,0,0,-1852,-344,-1,1,1,0
"4月 12, 1985",348,0,3089,2744,0,0,281,-945,0,1,0,0
"4月 19, 1985",115,0,5396,4971,0,0,-1215,-987,0.2,1,1,0
"4月 26, 1985",-43,0,14154,12490,0,0,153,-357,0.8,1,1,1
"5月 03, 1985",-189,0,9031,8142,0,0,500,678,0.6,0,1,1
"5月 10, 1985",397,0,-1555,-2742,0,0,976,765,-0.4,1,0,1
"5月 17, 1985",0,0,2385,658,0,0,-952,1962,0,1,1,1
"5月 24, 1985",-108,0,7747,5633,0,0,75,1536,0.4,0,1,1
"5月 31, 1985",401,0,871,-497,0,0,1765,4154,-0.5,0,1,1
"6月 07, 1985",-210,0,-2241,-2835,0,0,266,287,-0.2,1,0,1
"6月 14, 1985",48,0,2238,742,0,0,-941,1663,-0.1,0,1,1
"6月 21, 1985",167,0,-36,-1229,0,0,108,877,-0.3,0,0,1
"6月 28, 1985",53,0,-4864,-6395,0,0,-897,113,-0.5,0,0,1
"7月 05, 1985",295,0,-2479,-2900,0,0,-384,3045,-0.6,0,1,1
"7月 12, 1985",-180,0,-4424,-5851,0,0,1887,1529,-0.6,0,1,1
"7月 19, 1985",78,0,2052,-1203,0,0,266,2636,-0.2,0,0,1
"7月 26, 1985",-75,0,-5710,-6509,0,0,-469,3209,-0.6,0,1,0
"8月 02, 1985",-216,0,-3610,-5091,0,0,137,-2693,-0.2,1,1,1
"8月 09, 1985",-183,0,5561,5147,0,0,447,634,0.6,0,0,1
"8月 16, 1985",50,0,-1628,-2321,0,0,-333,1512,0,0,1,0
"8月 23, 1985",9,0,-9907,-10886,0,0,603,-911,-0.7,1,0,0
"8月 30, 1985",-11,0,6913,5672,0,0,-838,-2775,0.5,0,1,1
"9月 06, 1985",-516,0,-4815,-5338,0,0,81,1583,-0.2,1,1,1
"9月 13, 1985",365,0,798,426,0,0,403,97,0.1,0,1,0
"9月 20, 1985",1,0,-5023,-5287,0,0,30,-1182,-0.3,1,0,1
"9月 27, 1985",231,0,2864,1634,0,0,-508,572,0.1,1,1,0
"10月 04, 1985",-281,0,3492,3487,0,0,801,-801,0.1,1,0,1
"10月 11, 1985",202,0,7675,7675,0,0,-1018,1868,0.6,0,1,1
"10月 18, 1985",337,0,-7385,-7385,0,0,292,134,-0.9,1,0,1
"10月 25, 1985",-7,0,3532,3170,0,0,-1183,4328,0.1,0,1,1
"11月 01, 1985",-271,0,-7082,-7346,0,0,966,1245,-0.7,0,1,1
"11月 08, 1985",-222,0,-382,-642,0,0,811,1097,0,0,0,1
"11月 15, 1985",458,0,-1850,-1850,0,0,-1624,6223,-0.1,1,0,1
"11月 22, 1985",213,0,4046,3392,0,0,-212,2675,0.2,1,0,1
"11月 29, 1985",-304,0,2727,2464,0,0,-273,4045,0.1,1,1,1
"12月 06, 1985",190,0,7006,6236,0,0,1336,5359,0.3,0,0,1
"12月 13, 1985",-90,0,-3350,-3605,0,0,-859,248,-0.3,1,0,0
"12月 20, 1985",78,0,3988,3463,0,0,-33677,-1699,0.3,0,0,1
"12月 27, 1985",-9,0,-1624,-1683,0,0,0,3425,-0.2,1,1,1
"1月 03, 1986",-188,0,7246,6596,0,0,35025,1736,0.6,0,1,1
"1月 10, 1986",319,0,-5891,-5368,0,0,1697,1615,-0.5,0,1,0
"1月 17, 1986",-86,0,-1800,-1800,0,0,995,-965,-0.2,1,1,0
"1月 24, 1986",-203,0,8366,7653,0,0,889,-2126,0.7,0,0,0
"1月 31, 1986",-7,0,-1753,-2636,0,0,-453,-4929,-0.2,1,1,0
"2月 07, 1986",-693,0,8389,8386,0,0,867,-3146,1.2,0,1,0
"2月 14, 1986",355,0,-4628,-4628,0,0,377,-6526,-0.1,0,0,0
"2月 21, 1986",161,0,-5799,-6131,0,0,-655,-5588,-0.4,1,0,0
"2月 28, 1986",-286,0,9893,9560,0,0,-790,-8998,1,1,1,0
"3月 07, 1986",-301,0,4395,3670,0,0,223,-5600,0.4,0,0,0
"3月 14, 1986",-72,0,-1286,-1286,0,0,-1430,-7942,0.1,1,0,0
"3月 21, 1986",-71,0,2780,2374,0,0,-63,-2349,0.6,1,0,0
"3月 28, 1986",111,0,8856,8454,0,0,-2102,-681,1,0,1,1
"4月 04, 1986",251,0,-6778,-7080,0,0,335,1051,-0.8,1,0,0
"4月 11, 1986",310,0,3701,3298,0,0,-961,-1163,0,0,1,0
"4月 18, 1986",466,0,-2130,-2394,0,0,687,-1210,-0.9,0,0,1
"4月 25, 1986",-51,0,-5109,-5720,0,0,-445,718,-1,1,0,0
"5月 02, 1986",-52,0,6400,5786,0,0,-847,-1920,0.2,0,1,0
"5月 09, 1986",450,0,-5949,-5949,0,0,606,-797,-0.9,0,1,0
"5月 16, 1986",206,0,-7988,-7988,0,0,780,-1230,-0.9,1,0,0
"5月 23, 1986",134,0,5588,5242,0,0,-885,-603,0.1,0,1,1
"5月 30, 1986",202,0,-2673,-3022,0,0,562,4898,-0.7,1,0,1
"6月 06, 1986",-156,0,6069,5256,0,0,-256,1007,0.2,0,1,1
"6月 13, 1986",64,0,-11172,-11575,0,0,640,1985,-1,1,0,1
"6月 20, 1986",-121,0,3642,3294,0,0,-365,3210,0.3,1,1,1
"6月 27, 1986",135,0,1706,1365,0,0,403,517,0.1,0,0,1
"7月 04, 1986",-877,0,-4165,-4567,0,0,-140,2150,0,0,1,1
